Agent,Route,Time(steps),Distance(m),Speed(m/s),MaxSpeed(m/s),Edges,TLS_enc,Amber_enc,Red_enc,Green_enc,Amber_runs,Red_runs,Green_runs,Sudden_brakes,MaxDecel(m/s^2),AvgDecel(m/s^2),Lane_changes,Collisions,WaitTime(s)
safe_1,9,364,2176.02,5.98,9.48,67,4,4,0,0,3,1,0,44,4.5,8.29,66,0,0.0
risky_1,9,592,2179.54,3.68,8.39,68,4,1,3,0,1,3,0,79,4.5,7.18,68,0,0.0
safe_1,6,403,1766.41,4.38,9.48,65,9,2,5,2,2,6,1,41,4.5,8.01,64,0,0.0
risky_1,6,529,1768.05,3.34,8.39,66,9,1,6,2,2,5,2,64,4.5,6.85,65,0,0.0
safe_1,9,377,2179.75,5.78,9.48,68,4,2,2,0,1,3,0,39,4.5,9.44,67,0,0.0
risky_1,9,620,2176.6,3.51,8.39,69,4,0,4,0,2,2,0,99,4.5,6.27,68,0,0.0
safe_1,5,241,1509.11,6.26,9.48,49,4,0,4,0,1,3,0,20,4.5,9.75,49,0,0.0
risky_1,5,389,1510.48,3.88,8.39,49,4,0,4,0,1,3,0,63,4.5,6.3,49,0,0.0
safe_1,10,378,2154.51,5.7,9.48,72,8,1,6,1,3,4,1,47,4.5,8.03,73,0,0.0
risky_1,10,581,2157.03,3.71,8.39,70,8,4,3,1,2,5,1,82,4.5,6.74,71,0,0.0
safe_1,9,382,2174.19,5.69,9.48,68,4,0,4,0,0,4,0,45,4.5,8.42,67,0,0.0
risky_1,9,655,2180.43,3.33,8.39,68,4,1,3,0,0,4,0,92,4.5,6.97,67,0,0.0
safe_1,1,298,1741.02,5.84,9.48,50,5,2,3,0,2,3,0,40,4.5,7.46,49,0,0.0
risky_1,1,450,1740.64,3.87,8.39,52,5,2,2,1,1,3,1,70,4.5,6.46,51,0,0.0
safe_1,5,262,1502.71,5.74,9.48,48,4,0,4,0,0,4,0,28,4.5,8.07,48,0,0.0
risky_1,5,413,1509.46,3.65,8.39,47,4,2,2,0,1,3,0,56,4.5,6.74,47,0,0.0
safe_1,7,430,2308.26,5.37,12.27,88,7,1,5,1,2,4,1,53,4.5,7.91,89,0,0.0
risky_1,7,695,2306.09,3.32,9.14,89,7,2,4,1,0,6,1,98,4.5,6.53,91,0,0.0
safe_1,1,288,1741.96,6.05,9.48,51,5,1,4,0,2,3,0,29,4.5,9.3,50,0,0.0
risky_1,1,492,1734.67,3.53,8.39,52,5,1,4,0,0,5,0,59,4.5,7.37,52,0,0.0
safe_1,4,393,2020.84,5.14,9.48,52,6,5,1,0,2,4,0,40,4.5,9.41,53,0,0.0
risky_1,4,525,2022.19,3.85,8.39,55,6,2,4,0,1,5,0,72,4.5,6.5,58,0,0.0
safe_1,3,257,1541.79,6.0,9.48,50,4,0,3,1,0,3,1,37,4.5,6.86,51,0,0.0
risky_1,3,444,1544.74,3.48,8.39,50,4,0,3,1,0,3,1,70,4.5,6.53,51,0,0.0
safe_1,9,408,2180.74,5.34,9.48,68,4,1,3,0,1,3,0,46,4.5,8.89,67,0,0.0
risky_1,9,555,2178.57,3.93,8.39,69,4,1,3,0,1,3,0,81,4.5,6.82,68,0,0.0
safe_1,1,321,1739.19,5.42,9.48,51,5,1,4,0,1,4,0,52,4.5,6.66,50,0,0.0
risky_1,1,450,1738.8,3.86,8.39,52,5,2,2,1,1,3,1,65,4.5,6.65,51,0,0.0
safe_1,2,578,2530.84,4.38,9.48,87,4,1,2,1,2,1,1,59,4.5,8.62,90,0,0.0
risky_1,2,673,2534.56,3.77,8.39,87,4,1,2,1,2,1,1,98,4.5,6.43,88,0,0.0
safe_1,1,279,1737.29,6.23,9.48,52,5,1,4,0,1,4,0,32,4.5,8.94,51,0,0.0
risky_1,1,431,1739.13,4.04,8.39,50,5,0,5,0,0,5,0,74,4.5,6.26,50,0,0.0
safe_1,8,301,5.0,0.02,8.94,2,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
risky_1,8,602,5.0,0.01,8.94,2,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
