Run,Agent ID,Route Index,Journey Time,Distance,Average Speed,Edges Travelled,Reached Destination
1,safe_1,2,306,2529.37,8.27,80,Yes
1,risky_1,2,346,2382.22,6.89,87,Yes
2,safe_1,10,296,2155.66,7.28,71,Yes
2,risky_1,10,310,2048.66,6.61,70,Yes
3,safe_1,6,238,1764.04,7.41,64,Yes
3,risky_1,6,294,1743.4,5.93,65,Yes
4,safe_1,4,263,2015.51,7.66,52,Yes
4,risky_1,4,327,1962.53,6.0,53,Yes
5,safe_1,2,306,2529.37,8.27,80,Yes
5,risky_1,2,346,2382.22,6.89,87,Yes
6,safe_1,4,263,2015.51,7.66,52,Yes
6,risky_1,4,327,1962.53,6.0,53,Yes
7,safe_1,6,238,1764.04,7.41,64,Yes
7,risky_1,6,294,1743.4,5.93,65,Yes
8,safe_1,4,263,2015.51,7.66,52,Yes
8,risky_1,4,327,1962.53,6.0,53,Yes
9,safe_1,1,214,1740.7,8.13,50,Yes
9,risky_1,1,251,1647.63,6.56,51,Yes
10,safe_1,3,182,1544.18,8.48,48,Yes
10,risky_1,3,219,1514.02,6.91,49,Yes
11,safe_1,6,238,1764.04,7.41,64,Yes
11,risky_1,6,294,1743.4,5.93,65,Yes
12,safe_1,1,214,1740.7,8.13,50,Yes
12,risky_1,1,251,1647.63,6.56,51,Yes
13,safe_1,10,296,2155.66,7.28,71,Yes
13,risky_1,10,310,2048.66,6.61,70,Yes
14,safe_1,9,288,2174.08,7.55,67,Yes
14,risky_1,9,316,2076.49,6.57,67,Yes
15,safe_1,2,306,2529.37,8.27,80,Yes
15,risky_1,2,346,2382.22,6.89,87,Yes
16,safe_1,8,301,5.0,0.02,2,Yes
16,risky_1,8,602,5.0,0.01,2,Yes
17,safe_1,9,288,2174.08,7.55,67,Yes
17,risky_1,9,316,2076.49,6.57,67,Yes
18,safe_1,5,191,1511.24,7.91,47,Yes
18,risky_1,5,227,1457.22,6.42,48,Yes
19,safe_1,4,263,2015.51,7.66,52,Yes
19,risky_1,4,327,1962.53,6.0,53,Yes
20,safe_1,5,191,1511.24,7.91,47,Yes
20,risky_1,5,227,1457.22,6.42,48,Yes
21,safe_1,4,263,2015.51,7.66,52,Yes
21,risky_1,4,327,1962.53,6.0,53,Yes
22,safe_1,9,288,2174.08,7.55,67,Yes
22,risky_1,9,316,2076.49,6.57,67,Yes
23,safe_1,9,288,2174.08,7.55,67,Yes
23,risky_1,9,316,2076.49,6.57,67,Yes
24,safe_1,5,191,1511.24,7.91,47,Yes
24,risky_1,5,227,1457.22,6.42,48,Yes
25,safe_1,9,288,2174.08,7.55,67,Yes
25,risky_1,9,316,2076.49,6.57,67,Yes
26,safe_1,10,296,2155.66,7.28,71,Yes
26,risky_1,10,310,2048.66,6.61,70,Yes
27,safe_1,2,306,2529.37,8.27,80,Yes
27,risky_1,2,346,2382.22,6.89,87,Yes
28,safe_1,8,301,5.0,0.02,2,Yes
28,risky_1,8,602,5.0,0.01,2,Yes
29,safe_1,8,301,5.0,0.02,2,Yes
29,risky_1,8,602,5.0,0.01,2,Yes
30,safe_1,3,182,1544.18,8.48,48,Yes
30,risky_1,3,219,1514.02,6.91,49,Yes
31,safe_1,7,303,2304.71,7.61,89,Yes
31,risky_1,7,348,2289.21,6.58,90,Yes
32,safe_1,4,263,2015.51,7.66,52,Yes
32,risky_1,4,327,1962.53,6.0,53,Yes
33,safe_1,7,303,2304.71,7.61,89,Yes
33,risky_1,7,348,2289.21,6.58,90,Yes
34,safe_1,1,214,1740.7,8.13,50,Yes
34,risky_1,1,251,1647.63,6.56,51,Yes
35,safe_1,9,288,2174.08,7.55,67,Yes
35,risky_1,9,316,2076.49,6.57,67,Yes
36,safe_1,9,288,2174.08,7.55,67,Yes
36,risky_1,9,316,2076.49,6.57,67,Yes
37,safe_1,3,182,1544.18,8.48,48,Yes
37,risky_1,3,219,1514.02,6.91,49,Yes
38,safe_1,3,182,1544.18,8.48,48,Yes
38,risky_1,3,219,1514.02,6.91,49,Yes
39,safe_1,8,301,5.0,0.02,2,Yes
39,risky_1,8,602,5.0,0.01,2,Yes
40,safe_1,8,301,5.0,0.02,2,Yes
40,risky_1,8,602,5.0,0.01,2,Yes
41,safe_1,7,303,2304.71,7.61,89,Yes
41,risky_1,7,348,2289.21,6.58,90,Yes
42,safe_1,5,191,1511.24,7.91,47,Yes
42,risky_1,5,227,1457.22,6.42,48,Yes
43,safe_1,8,301,5.0,0.02,2,Yes
43,risky_1,8,602,5.0,0.01,2,Yes
44,safe_1,7,303,2304.71,7.61,89,Yes
44,risky_1,7,348,2289.21,6.58,90,Yes
45,safe_1,2,306,2529.37,8.27,80,Yes
45,risky_1,2,346,2382.22,6.89,87,Yes
46,safe_1,3,182,1544.18,8.48,48,Yes
46,risky_1,3,219,1514.02,6.91,49,Yes
47,safe_1,10,296,2155.66,7.28,71,Yes
47,risky_1,10,310,2048.66,6.61,70,Yes
48,safe_1,5,191,1511.24,7.91,47,Yes
48,risky_1,5,227,1457.22,6.42,48,Yes
49,safe_1,6,238,1764.04,7.41,64,Yes
49,risky_1,6,294,1743.4,5.93,65,Yes
50,safe_1,5,191,1511.24,7.91,47,Yes
50,risky_1,5,227,1457.22,6.42,48,Yes
51,safe_1,5,191,1511.24,7.91,47,Yes
51,risky_1,5,227,1457.22,6.42,48,Yes
52,safe_1,2,306,2529.37,8.27,80,Yes
52,risky_1,2,346,2382.22,6.89,87,Yes
53,safe_1,2,306,2529.37,8.27,80,Yes
53,risky_1,2,346,2382.22,6.89,87,Yes
54,safe_1,7,303,2304.71,7.61,89,Yes
54,risky_1,7,348,2289.21,6.58,90,Yes
55,safe_1,3,182,1544.18,8.48,48,Yes
55,risky_1,3,219,1514.02,6.91,49,Yes
56,safe_1,2,306,2529.37,8.27,80,Yes
56,risky_1,2,346,2382.22,6.89,87,Yes
57,safe_1,9,288,2174.08,7.55,67,Yes
57,risky_1,9,316,2076.49,6.57,67,Yes
58,safe_1,8,301,5.0,0.02,2,Yes
58,risky_1,8,602,5.0,0.01,2,Yes
59,safe_1,8,301,5.0,0.02,2,Yes
59,risky_1,8,602,5.0,0.01,2,Yes
60,safe_1,9,288,2174.08,7.55,67,Yes
60,risky_1,9,316,2076.49,6.57,67,Yes
61,safe_1,1,214,1740.7,8.13,50,Yes
61,risky_1,1,251,1647.63,6.56,51,Yes
62,safe_1,7,303,2304.71,7.61,89,Yes
62,risky_1,7,348,2289.21,6.58,90,Yes
63,safe_1,4,263,2015.51,7.66,52,Yes
63,risky_1,4,327,1962.53,6.0,53,Yes
64,safe_1,1,214,1740.7,8.13,50,Yes
64,risky_1,1,251,1647.63,6.56,51,Yes
65,safe_1,4,263,2015.51,7.66,52,Yes
65,risky_1,4,327,1962.53,6.0,53,Yes
66,safe_1,10,296,2155.66,7.28,71,Yes
66,risky_1,10,310,2048.66,6.61,70,Yes
67,safe_1,3,182,1544.18,8.48,48,Yes
67,risky_1,3,219,1514.02,6.91,49,Yes
68,safe_1,7,303,2304.71,7.61,89,Yes
68,risky_1,7,348,2289.21,6.58,90,Yes
69,safe_1,3,182,1544.18,8.48,48,Yes
69,risky_1,3,219,1514.02,6.91,49,Yes
70,safe_1,1,214,1740.7,8.13,50,Yes
70,risky_1,1,251,1647.63,6.56,51,Yes
71,safe_1,2,306,2529.37,8.27,80,Yes
71,risky_1,2,346,2382.22,6.89,87,Yes
72,safe_1,2,306,2529.37,8.27,80,Yes
72,risky_1,2,346,2382.22,6.89,87,Yes
73,safe_1,2,306,2529.37,8.27,80,Yes
73,risky_1,2,346,2382.22,6.89,87,Yes
74,safe_1,2,306,2529.37,8.27,80,Yes
74,risky_1,2,346,2382.22,6.89,87,Yes
75,safe_1,1,214,1740.7,8.13,50,Yes
75,risky_1,1,251,1647.63,6.56,51,Yes
76,safe_1,6,238,1764.04,7.41,64,Yes
76,risky_1,6,294,1743.4,5.93,65,Yes
77,safe_1,5,191,1511.24,7.91,47,Yes
77,risky_1,5,227,1457.22,6.42,48,Yes
78,safe_1,8,301,5.0,0.02,2,Yes
78,risky_1,8,602,5.0,0.01,2,Yes
79,safe_1,5,191,1511.24,7.91,47,Yes
79,risky_1,5,227,1457.22,6.42,48,Yes
80,safe_1,7,303,2304.71,7.61,89,Yes
80,risky_1,7,348,2289.21,6.58,90,Yes
81,safe_1,3,182,1544.18,8.48,48,Yes
81,risky_1,3,219,1514.02,6.91,49,Yes
82,safe_1,7,303,2304.71,7.61,89,Yes
82,risky_1,7,348,2289.21,6.58,90,Yes
83,safe_1,10,296,2155.66,7.28,71,Yes
83,risky_1,10,310,2048.66,6.61,70,Yes
84,safe_1,7,303,2304.71,7.61,89,Yes
84,risky_1,7,348,2289.21,6.58,90,Yes
85,safe_1,6,238,1764.04,7.41,64,Yes
85,risky_1,6,294,1743.4,5.93,65,Yes
86,safe_1,7,303,2304.71,7.61,89,Yes
86,risky_1,7,348,2289.21,6.58,90,Yes
87,safe_1,6,238,1764.04,7.41,64,Yes
87,risky_1,6,294,1743.4,5.93,65,Yes
88,safe_1,6,238,1764.04,7.41,64,Yes
88,risky_1,6,294,1743.4,5.93,65,Yes
89,safe_1,2,306,2529.37,8.27,80,Yes
89,risky_1,2,346,2382.22,6.89,87,Yes
90,safe_1,6,238,1764.04,7.41,64,Yes
90,risky_1,6,294,1743.4,5.93,65,Yes
91,safe_1,3,182,1544.18,8.48,48,Yes
91,risky_1,3,219,1514.02,6.91,49,Yes
92,safe_1,3,182,1544.18,8.48,48,Yes
92,risky_1,3,219,1514.02,6.91,49,Yes
93,safe_1,9,288,2174.08,7.55,67,Yes
93,risky_1,9,316,2076.49,6.57,67,Yes
94,safe_1,10,296,2155.66,7.28,71,Yes
94,risky_1,10,310,2048.66,6.61,70,Yes
95,safe_1,7,303,2304.71,7.61,89,Yes
95,risky_1,7,348,2289.21,6.58,90,Yes
96,safe_1,4,263,2015.51,7.66,52,Yes
96,risky_1,4,327,1962.53,6.0,53,Yes
97,safe_1,3,182,1544.18,8.48,48,Yes
97,risky_1,3,219,1514.02,6.91,49,Yes
98,safe_1,2,306,2529.37,8.27,80,Yes
